Year,Seaport,Country,Region,Region (with China),"Reclaimed area (km^2, raw)",TEU (millions)
2019,Piraeus,Greece,Mediterranean,Mediterranean,1.04,5.67
2019,Qingdao,China,Asia,China,27.19,21.01
2019,Rizhao,China,Asia,China,14,4.5
2019,Rotterdam,Netherlands,Northern Europe,Northern Europe,22.18,14.82
2019,Salalah,Oman,Middle East,Middle East,3.12,4.11
2019,Shanghai,China,Asia,China,51.39,43.3
2019,Shenzhen,China,Asia,China,32.91,25.77
2019,Singapore,Singapore,Asia,Asia,57.22,37.2
2019,Sydney,Australia,Oceania,Oceania,1.45,2.57
2019,Tanger Med,Morocco,Mediterranean,Mediterranean,2.2,4.8
2019,Tangshan,China,Asia,China,45.9,2.94
2019,Tanjung Pelepas,Malaysia,Asia,Asia,3.97,9.11
2019,Tanjung Perak,Indonesia,Asia,Asia,3.66,7.6
2019,Tanjung Priok,Indonesia,Asia,Asia,3.72,7.6
2019,Tianjin,China,Asia,China,191.65,17.3
2019,Tokyo,Japan,Asia,Asia,11.22,4.51
2019,Valencia,Spain,Mediterranean,Mediterranean,4.73,5.43
2019,Xiamen,China,Asia,China,4.03,11.12
2019,Yantai,China,Asia,China,3.34,3.1
2019,Yingkou,China,Asia,China,51.66,5.48
2020,Algeciras,Spain,Mediterranean,Mediterranean,3.1,5.11
2020,Barcelona,Spain,Mediterranean,Mediterranean,4.07,5.77
2020,Busan,South Korea,Asia,Asia,19.39,21.59
2020,Colombo,Sri Lanka,Asia,Asia,4.77,6.85
2020,Dalian,China,Asia,China,20.03,6.54
2020,Dubai,UAE,Middle East,Middle East,5.04,13.5
2020,Felixstowe,UK,Northern Europe,Northern Europe,1.99,3.435
2020,Genoa,Italy,Mediterranean,Mediterranean,2.08,2.49885
2020,Guangzhou,China,Asia,China,32.7,23.19
2020,Hong Kong,China,Asia,China,5.42,17.95
2020,Incheon,South Korea,Asia,Asia,14.73,3.272213
2020,Jawaharlal Nehru,India,Asia,Asia,3.43,4.68
2020,Jeddah,Saudi Arabia,Middle East,Middle East,5.23,4.737313
2020,Karachi,Pakistan,Asia,Asia,5.49,2.079
2020,Kobe,Japan,Asia,Asia,8.28,2.647066
2020,Laem Chabang,Thailand,Asia,Asia,9.78,7.55
2020,Le Havre,France,Northern Europe,Northern Europe,3.31,2.417
2020,Lianyungang,China,Asia,China,43.55,4.8
2020,Los Angeles,USA,North America,North America,3.28,9.2
2020,Manila,Philippines,Asia,Asia,2.57,4.43
2020,Mundra,India,Asia,Asia,15.44,5.656594
2020,Nagoya,Japan,Asia,Asia,7.95,2.471146
2020,Ningbo-Zhoushan,China,Asia,China,28.94,28.72
2020,Piraeus,Greece,Mediterranean,Mediterranean,1.51,5.44
2020,Qingdao,China,Asia,China,30.32,22
2020,Rizhao,China,Asia,China,15.71,4.86
2020,Rotterdam,Netherlands,Northern Europe,Northern Europe,23.42,14.35
2020,Salalah,Oman,Middle East,Middle East,3.04,4.34
2020,Shanghai,China,Asia,China,51.07,43.5
2020,Shenzhen,China,Asia,China,33.76,26.55
2020,Singapore,Singapore,Asia,Asia,58.35,36.6
2020,Sydney,Australia,Oceania,Oceania,1.42,2.395773
2020,Tanger Med,Morocco,Mediterranean,Mediterranean,2.68,5.77
2020,Tangshan,China,Asia,China,46.41,3.12
2020,Tanjung Pelepas,Malaysia,Asia,Asia,4.04,9.85
2020,Tanjung Perak,Indonesia,Asia,Asia,4.01,6.17
2020,Tanjung Priok,Indonesia,Asia,Asia,3.5,7.55
2020,Tianjin,China,Asia,China,183.9,18.35
2020,Tokyo,Japan,Asia,Asia,13.74,4.261793
2020,Valencia,Spain,Mediterranean,Mediterranean,4.76,5.43
2020,Xiamen,China,Asia,China,4.31,11.41
2020,Yantai,China,Asia,China,3.69,3.3002
2020,Yingkou,China,Asia,China,51.33,5.67
