Year,Seaport,Country,Region,"Reclaimed area (km^2, raw)","Reclaimed area (km^2, smoothed)"
1997,Jinzhou,China,Asia,0,0.31
1997,Kaohsiung,Taiwan,Asia,11.11,11.11
1997,Karachi,Pakistan,Asia,4.28,4.37
1997,Port Klang,Malaysia,Asia,0.47,0.39
1997,Dammam,Saudi Arabia,Middle East,0.8,1.06
1997,King Abdullah,Saudi Arabia,Middle East,0,0
1997,Kobe,Japan,Asia,4.22,3.93
1997,Laem Chabang,Thailand,Asia,6.51,6.51
1997,Le Havre,France,Northern Europe,1.34,1.57
1997,Lianyungang,China,Asia,11.74,11.1
1997,Lome,Togo,Africa,0.42,0.42
1997,Los Angeles,USA,North America,1.38,1.25
1997,Manila,Philippines,Asia,1.21,1.41
1997,Manzanillo,Mexico,North America,1.81,1.74
1997,Jawaharlal Nehru,India,Asia,1.32,1.61
1997,Mundra,India,Asia,3.87,3.87
1997,Nagoya,Japan,Asia,4.29,4.59
1997,Ningbo-Zhoushan,China,Asia,13.16,13.16
1997,Osaka,Japan,Asia,1.88,1.83
1997,Piraeus,Greece,Mediterranean,0.81,0.81
1997,Qingdao,China,Asia,7.57,6.13
1997,Qinzhou,China,Asia,0,1.08
1997,Quanzhou,China,Asia,0.78,0.76
1997,Rizhao,China,Asia,3.36,3.11
1997,Rotterdam,Netherlands,Northern Europe,13.76,13.17
1997,Said,Egypt,Middle East,0,0
1997,Salalah,Oman,Middle East,1.81,1.52
1997,Shanghai,China,Asia,25.23,25.88
1997,Shenzhen,China,Asia,8.52,8.52
1997,Singapore,Singapore,Asia,17.65,17.65
1997,Sydney,Australia,Oceania,0.96,0.9
1997,Taichung,Taiwan,Asia,17.64,17.85
1997,Taicang,China,Asia,8.98,8.41
1997,Tianjin,China,Asia,19.59,19.59
1997,Tangshan,China,Asia,35.34,35.34
1997,Tanger Med,Morocco,Mediterranean,0.12,0.24
1997,Tokyo,Japan,Asia,7.9,7.9
1997,Tanjung Priok,Indonesia,Asia,0.51,0.54
1997,Tanjung Pelepas,Malaysia,Asia,1.96,1.96
1997,Tanjung Perak,Indonesia,Asia,2.73,2.55
1997,Valencia,Spain,Mediterranean,1.19,1.87
1997,Xiamen,China,Asia,0.55,0.55
1997,Yingkou,China,Asia,9.71,9.53
1997,Yantai,China,Asia,0.92,0.92
1997,Yokohama,Japan,Asia,1.11,1.18
1997,Zhuhai,China,Asia,1.73,1.73
1998,Abu Dhabi,UAE,Middle East,17.29,17.29
1998,Alexandria,Egypt,Middle East,0.99,0.84
1998,Algeciras,Spain,Mediterranean,0.98,0.98
1998,Barcelona,Spain,Mediterranean,0.78,0.75
1998,Busan,South Korea,Asia,7.4,7.4
1998,Cartagena,Colombia,Central & South America,1.28,1.11
1998,Colombo,Sri Lanka,Asia,0.78,0.46
1998,Dalian,China,Asia,2.78,2.89
1998,Dubai,UAE,Middle East,1.58,1.39
