Year,Seaport,Country,Region,"Reclaimed area (km^2, raw)"
1996,King Abdullah,Saudi Arabia,Middle East,NaN
1996,Kobe,Japan,Asia,3.93
1996,Laem Chabang,Thailand,Asia,4.85
1996,Le Havre,France,Northern Europe,NaN
1996,Lianyungang,China,Asia,5.68
1996,Lome,Togo,Africa,NaN
1996,Los Angeles,USA,North America,1
1996,Manila,Philippines,Asia,1.08
1996,Manzanillo,Mexico,North America,2.18
1996,Jawaharlal Nehru,India,Asia,0.86
1996,Mundra,India,Asia,3.34
1996,Nagoya,Japan,Asia,4
1996,Ningbo-Zhoushan,China,Asia,11.27
1996,Osaka,Japan,Asia,1.84
1996,Piraeus,Greece,Mediterranean,NaN
1996,Qingdao,China,Asia,4.42
1996,Qinzhou,China,Asia,0.85
1996,Quanzhou,China,Asia,0.63
1996,Rizhao,China,Asia,1.31
1996,Rotterdam,Netherlands,Northern Europe,NaN
1996,Said,Egypt,Middle East,NaN
1996,Salalah,Oman,Middle East,1.37
1996,Shanghai,China,Asia,17.19
1996,Shenzhen,China,Asia,5.62
1996,Singapore,Singapore,Asia,11.64
1996,Sydney,Australia,Oceania,0.68
1996,Taichung,Taiwan,Asia,17.81
1996,Taicang,China,Asia,7.89
1996,Tianjin,China,Asia,8.42
1996,Tangshan,China,Asia,23.89
1996,Tanger Med,Morocco,Mediterranean,NaN
1996,Tokyo,Japan,Asia,6.65
1996,Tanjung Priok,Indonesia,Asia,0.28
1996,Tanjung Pelepas,Malaysia,Asia,1.15
1996,Tanjung Perak,Indonesia,Asia,0.97
1996,Valencia,Spain,Mediterranean,NaN
1996,Xiamen,China,Asia,1.13
1996,Yingkou,China,Asia,1.35
1996,Yantai,China,Asia,0.52
1996,Yokohama,Japan,Asia,1.38
1996,Zhuhai,China,Asia,0.72
1997,Abu Dhabi,UAE,Middle East,5
1997,Alexandria,Egypt,Middle East,NaN
1997,Algeciras,Spain,Mediterranean,NaN
1997,Barcelona,Spain,Mediterranean,0.62
1997,Busan,South Korea,Asia,3.35
1997,Cartagena,Colombia,Central & South America,1.36
1997,Colombo,Sri Lanka,Asia,NaN
1997,Dalian,China,Asia,2.15
1997,Dubai,UAE,Middle East,0.37
1997,Felixstowe,UK,Northern Europe,0.57
1997,Genoa,Italy,Mediterranean,NaN
1997,Guangzhou,China,Asia,NaN
1997,Yeosu Gwangyang,South Korea,Asia,0.63
1997,Hai Phong,Vietnam,Asia,NaN
1997,Haikou,China,Asia,NaN
1997,Hong Kong,China,Asia,NaN
1997,Incheon,South Korea,Asia,3.9
1997,Jeddah,Saudi Arabia,Middle East,NaN
1997,Jiaxing,China,Asia,4.7
1997,Jinzhou,China,Asia,0.03
1997,Kaohsiung,Taiwan,Asia,8.48
1997,Karachi,Pakistan,Asia,2.09
1997,Port Klang,Malaysia,Asia,0.45
1997,Dammam,Saudi Arabia,Middle East,NaN
1997,King Abdullah,Saudi Arabia,Middle East,NaN
1997,Kobe,Japan,Asia,4.18
1997,Laem Chabang,Thailand,Asia,NaN
1997,Le Havre,France,Northern Europe,NaN
1997,Lianyungang,China,Asia,10.78
1997,Lome,Togo,Africa,NaN
1997,Los Angeles,USA,North America,1.14
1997,Manila,Philippines,Asia,1.08
1997,Manzanillo,Mexico,North America,2.08
1997,Jawaharlal Nehru,India,Asia,0.63
1997,Mundra,India,Asia,0.49
1997,Nagoya,Japan,Asia,3.73
1997,Ningbo-Zhoushan,China,Asia,11.67
1997,Osaka,Japan,Asia,2.06
1997,Piraeus,Greece,Mediterranean,NaN
1997,Qingdao,China,Asia,6.72
1997,Qinzhou,China,Asia,NaN
1997,Quanzhou,China,Asia,NaN
1997,Rizhao,China,Asia,1.71
1997,Rotterdam,Netherlands,Northern Europe,13.2
1997,Said,Egypt,Middle East,NaN
1997,Salalah,Oman,Middle East,1.28
1997,Shanghai,China,Asia,18.05
1997,Shenzhen,China,Asia,NaN
1997,Singapore,Singapore,Asia,17.21
1997,Sydney,Australia,Oceania,0.72
1997,Taichung,Taiwan,Asia,15.42
1997,Taicang,China,Asia,8.6
1997,Tianjin,China,Asia,7.62
1997,Tangshan,China,Asia,18.26
1997,Tanger Med,Morocco,Mediterranean,NaN
1997,Tokyo,Japan,Asia,6.7
1997,Tanjung Priok,Indonesia,Asia,0.51
1997,Tanjung Pelepas,Malaysia,Asia,1.49
1997,Tanjung Perak,Indonesia,Asia,1.03
1997,Valencia,Spain,Mediterranean,1.09
1997,Xiamen,China,Asia,NaN
1997,Yingkou,China,Asia,1.51
1997,Yantai,China,Asia,0.9
1997,Yokohama,Japan,Asia,1.55
1997,Zhuhai,China,Asia,NaN
1998,Abu Dhabi,UAE,Middle East,15.49
1998,Alexandria,Egypt,Middle East,1.47
1998,Algeciras,Spain,Mediterranean,0.23
1998,Barcelona,Spain,Mediterranean,NaN
1998,Busan,South Korea,Asia,3.59
1998,Cartagena,Colombia,Central & South America,1.24
1998,Colombo,Sri Lanka,Asia,NaN
1998,Dalian,China,Asia,2.2
1998,Dubai,UAE,Middle East,0.88
1998,Felixstowe,UK,Northern Europe,1.33
1998,Genoa,Italy,Mediterranean,NaN
1998,Guangzhou,China,Asia,NaN
1998,Yeosu Gwangyang,South Korea,Asia,0.57
1998,Hai Phong,Vietnam,Asia,NaN
1998,Haikou,China,Asia,NaN
1998,Hong Kong,China,Asia,NaN
1998,Incheon,South Korea,Asia,3.09
1998,Jeddah,Saudi Arabia,Middle East,3.43
1998,Jiaxing,China,Asia,4.49
1998,Jinzhou,China,Asia,0.02
1998,Kaohsiung,Taiwan,Asia,9.98
1998,Karachi,Pakistan,Asia,2.38
1998,Port Klang,Malaysia,Asia,0.24
1998,Dammam,Saudi Arabia,Middle East,0.37
1998,King Abdullah,Saudi Arabia,Middle East,2.98
1998,Kobe,Japan,Asia,3.34
1998,Laem Chabang,Thailand,Asia,NaN
1998,Le Havre,France,Northern Europe,1
1998,Lianyungang,China,Asia,10.49
1998,Lome,Togo,Africa,0.23
1998,Los Angeles,USA,North America,1.02
1998,Manila,Philippines,Asia,0.99
1998,Manzanillo,Mexico,North America,2.23
1998,Jawaharlal Nehru,India,Asia,0.81
1998,Mundra,India,Asia,6.01
1998,Nagoya,Japan,Asia,4.93
1998,Ningbo-Zhoushan,China,Asia,12.6
1998,Osaka,Japan,Asia,1.91
1998,Piraeus,Greece,Mediterranean,NaN
1998,Qingdao,China,Asia,7.08
1998,Qinzhou,China,Asia,NaN
1998,Quanzhou,China,Asia,NaN
1998,Rizhao,China,Asia,1.62
1998,Rotterdam,Netherlands,Northern Europe,10.48
1998,Said,Egypt,Middle East,1.91
1998,Salalah,Oman,Middle East,1.67
1998,Shanghai,China,Asia,18.69
1998,Shenzhen,China,Asia,NaN
1998,Singapore,Singapore,Asia,0.76
1998,Sydney,Australia,Oceania,0.7
1998,Taichung,Taiwan,Asia,NaN
1998,Taicang,China,Asia,7.15
1998,Tianjin,China,Asia,7.35
1998,Tangshan,China,Asia,18.14
1998,Tanger Med,Morocco,Mediterranean,0.12
1998,Tokyo,Japan,Asia,5.51
1998,Tanjung Priok,Indonesia,Asia,0.17
1998,Tanjung Pelepas,Malaysia,Asia,NaN
1998,Tanjung Perak,Indonesia,Asia,0.58
1998,Valencia,Spain,Mediterranean,NaN
1998,Xiamen,China,Asia,NaN
1998,Yingkou,China,Asia,1.51
1998,Yantai,China,Asia,1
1998,Yokohama,Japan,Asia,1.13
1998,Zhuhai,China,Asia,NaN
1999,Abu Dhabi,UAE,Middle East,10.54
1999,Alexandria,Egypt,Middle East,1.59
1999,Algeciras,Spain,Mediterranean,1.03
1999,Barcelona,Spain,Mediterranean,0.51
1999,Busan,South Korea,Asia,3.67
1999,Cartagena,Colombia,Central & South America,1.16
1999,Colombo,Sri Lanka,Asia,0.13
1999,Dalian,China,Asia,2.71
1999,Dubai,UAE,Middle East,0.77
1999,Felixstowe,UK,Northern Europe,1.54
1999,Genoa,Italy,Mediterranean,0.91
1999,Guangzhou,China,Asia,8.2
1999,Yeosu Gwangyang,South Korea,Asia,0.37
1999,Hai Phong,Vietnam,Asia,6.15
1999,Haikou,China,Asia,0.92
1999,Hong Kong,China,Asia,1.09
1999,Incheon,South Korea,Asia,3.57
1999,Jeddah,Saudi Arabia,Middle East,3.09
1999,Jiaxing,China,Asia,4.66
1999,Jinzhou,China,Asia,0.06
1999,Kaohsiung,Taiwan,Asia,11.78
1999,Karachi,Pakistan,Asia,2.45
1999,Port Klang,Malaysia,Asia,0.35
1999,Dammam,Saudi Arabia,Middle East,0.65
1999,King Abdullah,Saudi Arabia,Middle East,2.77
1999,Kobe,Japan,Asia,3.9
1999,Laem Chabang,Thailand,Asia,4.55
1999,Le Havre,France,Northern Europe,1.22
1999,Lianyungang,China,Asia,4.98
1999,Lome,Togo,Africa,0.52
1999,Los Angeles,USA,North America,1.23
1999,Manila,Philippines,Asia,1.48
1999,Manzanillo,Mexico,North America,2.22
1999,Jawaharlal Nehru,India,Asia,0.71
1999,Mundra,India,Asia,4.89
1999,Nagoya,Japan,Asia,5.02
1999,Ningbo-Zhoushan,China,Asia,11.77
1999,Osaka,Japan,Asia,2.11
1999,Piraeus,Greece,Mediterranean,0.44
1999,Qingdao,China,Asia,5.01
1999,Qinzhou,China,Asia,0.81
1999,Quanzhou,China,Asia,0.25
1999,Rizhao,China,Asia,1.36
1999,Rotterdam,Netherlands,Northern Europe,9.27
1999,Said,Egypt,Middle East,1.73
1999,Salalah,Oman,Middle East,1.8
1999,Shanghai,China,Asia,18.73
1999,Shenzhen,China,Asia,7.01
1999,Singapore,Singapore,Asia,6.48
1999,Sydney,Australia,Oceania,0.72
1999,Taichung,Taiwan,Asia,10.94
1999,Taicang,China,Asia,7.66
